"Localidade";"Variável";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"CENTRO GOIANO";"Produção Agrícola - Tomate industrial - Quantidade Produzida (t)";"272.115";"199.254";"316.350";"181.010";"196.275";"323.105";"151.100";"-";"54.400";"18.200";"27.320"
"LESTE GOIANO";"Produção Agrícola - Tomate industrial - Quantidade Produzida (t)";"326.365";"511.310";"336.720";"306.400";"233.700";"298.530";"360.710";"-";"354.540";"588.393";"401.552"
"NOROESTE GOIANO";"Produção Agrícola - Tomate industrial - Quantidade Produzida (t)";"23.335";"32.100";"33.280";"29.600";"-";"3.200";"2";"-";"-";"-";"0"
"NORTE GOIANO";"Produção Agrícola - Tomate industrial - Quantidade Produzida (t)";"3.100";"13.310";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"SUL GOIANO";"Produção Agrícola - Tomate industrial - Quantidade Produzida (t)";"447.231";"490.674";"298.840";"333.877";"453.378";"577.228";"630.032";"1.013.730";"582.037";"556.547";"546.888"
