"Localidade";"Variável";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"CENTRO GOIANO";"Produção Agrícola - Tomate de mesa - Quantidade Produzida (t)";"48.930";"41.471";"39.875";"28.438";"21.695";"23.137";"12.847";"-";"-";"8.003";"9.459"
"LESTE GOIANO";"Produção Agrícola - Tomate de mesa - Quantidade Produzida (t)";"26.628";"26.015";"26.628";"24.030";"23.769";"17.060";"32.900";"-";"-";"44.036";"53.763"
"NOROESTE GOIANO";"Produção Agrícola - Tomate de mesa - Quantidade Produzida (t)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"NORTE GOIANO";"Produção Agrícola - Tomate de mesa - Quantidade Produzida (t)";"200";"200";"475";"475";"1.236";"1.040";"1.620";"-";"-";"19.000";"19.000"
"SUL GOIANO";"Produção Agrícola - Tomate de mesa - Quantidade Produzida (t)";"9.174";"3.273";"3.169";"9.146";"4.605";"8.763";"7.616";"-";"-";"7.316";"11.979"
