"Localidade";"Variável";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"CENTRO GOIANO";"Produção Agrícola - Tomate de mesa - Área Colhida (ha)";"638";"550";"526";"390";"294";"304";"151";"-";"-";"105";"123"
"LESTE GOIANO";"Produção Agrícola - Tomate de mesa - Área Colhida (ha)";"296";"313";"323";"288";"288";"248";"353";"-";"-";"502";"658"
"NOROESTE GOIANO";"Produção Agrícola - Tomate de mesa - Área Colhida (ha)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"NORTE GOIANO";"Produção Agrícola - Tomate de mesa - Área Colhida (ha)";"5";"5";"5";"5";"12";"13";"18";"-";"-";"200";"200"
"SUL GOIANO";"Produção Agrícola - Tomate de mesa - Área Colhida (ha)";"160";"53";"41";"126";"81";"107";"120";"-";"-";"112";"172"
